Date,Time,ID,Condition,Replicate,Count1,Count2,Count3,Mean,S.E.
2024/11/11,0,Lin-1,Linear,1,147750,215000,176750,179833.3333,19474.52039
2024/11/11,0,Lin-2,Linear,2,151000,165000,198000,171333.3333,13932.37636
2024/11/11,0,Lin-3,Linear,3,176000,198500,197000,190500,7262.919523
2024/11/11,0,Lin-4,Linear,4,122500,153000,175750,150416.6667,15426.12323
2024/11/11,0,Lin-5,Linear,5,244000,205500,219000,222833.3333,11278.05145
2024/11/11,0,Lin-6,Linear,6,210250,157000,302500,223250,42502.20583
2024/11/11,0,Lin-7,Linear,7,271500,271000,233500,258666.6667,12584.16112
2024/11/11,0,SD025-1,SD025,1,218000,181500,469000,289500,90366.38387
2024/11/11,0,SD025-2,SD025,2,239000,219000,226000,228000,5859.465277
2024/11/11,0,SD025-3,SD025,3,302000,138000,344000,261333.3333,62847.25752
2024/11/11,0,SD025-4,SD025,4,277000,298000,111500,228833.3333,58979.04524
2024/11/11,0,SD025-5,SD025,5,179000,117750,197000,164583.3333,23986.25185
2024/11/11,0,Sd025-6,SD025,6,140500,169500,307000,205666.6667,51353.62153
2024/11/11,0,SD025-7,SD025,7,207500,227500,265000,233333.3333,16853.12368
2024/11/11,0,SD100-1,SD100,1,119000,268500,153500,180333.3333,45194.33347
2024/11/11,0,SD100-2,SD100,2,58000,143000,285500,162166.6667,66369.1277
2024/11/11,0,SD100-3,SD100,3,256250,68250,481250,268583.3333,119382.206
2024/11/11,0,SD100-4,SD100,4,155500,204500,232750,197583.3333,22566.72206
2024/11/11,0,SD100-5,SD100,5,150000,177500,197500,175000,13768.92637
2024/11/11,0,SD100-6,SD100,6,236250,175750,282500,231500,30907.45595
2024/11/11,0,SD100-7,SD100,7,160000,185000,138500,161166.6667,13436.06258
2024/11/15,4,Lin-1,Linear,1,64500,117000,106000,95833.33333,15985.23624
2024/11/15,4,Lin-2,Linear,2,158000,581000,129000,289333.3333,146073.4214
2024/11/15,4,Lin-3,Linear,3,88000,176000,182000,148666.6667,30382.74364
2024/11/15,4,Lin-4,Linear,4,158000,381000,352000,297000,70002.38091
2024/11/15,4,Lin-5,Linear,5,106000,64500,147000,105833.3333,23815.8444
2024/11/15,4,Lin-6,Linear,6,293000,358000,270000,307000,26350.20557
2024/11/15,4,Lin-7,Linear,7,250000,188000,428000,288666.6667,71928.97732
2024/11/15,4,SD025-1,SD025,1,223000,199000,264000,228666.6667,18976.59377
2024/11/15,4,SD025-2,SD025,2,545000,99700,211000,285233.3333,133798.3101
2024/11/15,4,SD025-3,SD025,3,405000,194000,147000,248666.6667,79335.43415
2024/11/15,4,SD025-4,SD025,4,205000,111000,111000,142333.3333,31333.33333
2024/11/15,4,SD025-5,SD025,5,141000,117000,46400,101466.6667,28391.62631
2024/11/15,4,Sd025-6,SD025,6,117000,235000,106000,152666.6667,41288.95467
2024/11/15,4,SD025-7,SD025,7,182000,428000,293000,301000,71126.64761
2024/11/15,4,SD100-1,SD100,1,106000,70200,141000,105733.3333,20438.63444
2024/11/15,4,SD100-2,SD100,2,188000,106000,229000,174333.3333,36158.60125
2024/11/15,4,SD100-3,SD100,3,29300,182000,334000,181766.6667,87959.39088
2024/11/15,4,SD100-4,SD100,4,223000,188000,88000,166333.3333,40448.87033
2024/11/15,4,SD100-5,SD100,5,35200,211000,70400,105533.3333,53703.42426
2024/11/15,4,SD100-6,SD100,6,393000,54500,129000,192166.6667,102693.8546
2024/11/15,4,SD100-7,SD100,7,563000,76200,64500,234566.6667,164251.3961
2024/11/18,7,Lin-1,Linear,1,586000,762000,205000,517666.6667,164382.0077
2024/11/18,7,Lin-2,Linear,2,358000,563000,135000,352000,123589.3739
2024/11/18,7,Lin-3,Linear,3,1020000,188000,217000,475000,272628.5629
2024/11/18,7,Lin-4,Linear,4,258000,2220000,282000,920000,650036.922
2024/11/18,7,Lin-5,Linear,5,246000,317000,194000,252333.3333,35647.97018
2024/11/18,7,Lin-6,Linear,6,545000,575000,692000,604000,44844.17465
2024/11/18,7,Lin-7,Linear,7,897000,229000,589000,571666.6667,193029.6465
2024/11/18,7,SD025-1,SD025,1,205000,416000,358000,326333.3333,62934.71044
2024/11/18,7,SD025-2,SD025,2,223000,369000,147000,246333.3333,65139.16726
2024/11/18,7,SD025-3,SD025,3,246000,217000,240000,234333.3333,8838.049056
2024/11/18,7,SD025-4,SD025,4,123000,129000,123000,125000,2000
2024/11/18,7,SD025-5,SD025,5,182000,229000,229000,213333.3333,15666.66667
2024/11/18,7,Sd025-6,SD025,6,352000,117000,411000,293333.3333,89796.68393
2024/11/18,7,SD025-7,SD025,7,311000,41100,194000,182033.3333,78142.82508
2024/11/18,7,SD100-1,SD100,1,41100,276000,252000,189700,74622.3157
2024/11/18,7,SD100-2,SD100,2,217000,111000,276000,201333.3333,48271.22446
2024/11/18,7,SD100-3,SD100,3,358000,440000,358000,385333.3333,27333.33333
2024/11/18,7,SD100-4,SD100,4,199000,287000,152000,212666.6667,39565.69783
2024/11/18,7,SD100-5,SD100,5,235000,452000,82100,256366.6667,107314.0304
2024/11/18,7,SD100-6,SD100,6,170000,129000,176000,158333.3333,14768.58528
2024/11/18,7,SD100-7,SD100,7,141000,190000,70400,133800,34712.72581