Sampling dates,Cell count (x10^5/ml),OD680,0D750,delta_OD680,delta_OD750,Start cultivation
20231030,0,0.035,0.039,0,0,20231030
20231030,0.38,0.038,0.037,0.003,-0.002,20231030
20231030,0.76,0.036,0.037,0.001,-0.002,20231030
20231030,1.14,0.036,0.04,0.001,0.001,20231030
20231030,1.52,0.04,0.037,0.005,-0.002,20231030
20231030,1.9,0.041,0.039,0.006,0,20231030
20231103,0,0.035,0.039,0,0,20231030
20231103,90.1,0.165,0.109,0.13,0.07,20231030
20231103,144,0.28,0.143,0.245,0.104,20231030
20231103,228,0.287,0.198,0.252,0.159,20231030
20231103,329,0.266,0.186,0.231,0.147,20231030
20231103,243,0.249,0.16,0.214,0.121,20231030
20231107,0,0.035,0.038,0,0,20231025
20231107,5.43,0.041,0.037,0.006,-0.001,20231025
20231107,10.86,0.044,0.039,0.009,0.001,20231025
20231107,27.15,0.059,0.049,0.024,0.011,20231025
20231107,40.725,0.076,0.053,0.041,0.015,20231025
20231107,54.3,0.09,0.06,0.055,0.022,20231025
20231107,0,0.034,0.035,0,0,20231025
20231107,4.56,0.04,0.037,0.006,0.002,20231025
20231107,9.12,0.046,0.042,0.012,0.007,20231025
20231107,22.8,0.059,0.045,0.025,0.01,20231025
20231107,34.2,0.082,0.055,0.048,0.02,20231025
20231107,45.6,0.08,0.061,0.046,0.026,20231025
20231107,0,0.036,0.038,0,0,20231025
20231107,5.69,0.039,0.036,0.003,-0.002,20231025
20231107,11.38,0.043,0.038,0.007,0,20231025
20231107,28.45,0.057,0.048,0.021,0.01,20231025
20231107,42.675,0.076,0.054,0.04,0.016,20231025
20231107,56.9,0.086,0.06,0.05,0.022,20231025
20231109,0,0.033,0.037,0,0,20231030
20231109,22.2,0.09,0.054,0.057,0.017,20231030
20231109,26.5,0.091,0.058,0.058,0.021,20231030
20231109,30.2,0.101,0.062,0.068,0.025,20231030
20231110,0,0.034,0.036,0,0,20231110
20231110,11.7,0.048,0.042,0.014,0.006,20231110
20231110,29.25,0.063,0.048,0.029,0.012,20231110
20231110,58.5,0.139,0.07,0.105,0.034,20231110
20231110,87.75,0.174,0.096,0.14,0.06,20231110
20231110,117,0.203,0.097,0.169,0.061,20231110