Date,Time,plate-ID,Control,NaCl(M),OD680,OD750,delta_OD680,delta_OD750,Shkae,Photo after 7 days
20231031,0,1031-1,Y,0,0.034,0.04,0,0,Y,
20231031,0,1031-1,Y,0.06,0.037,0.035,0,0,Y,
20231031,0,1031-1,Y,0.2,0.035,0.036,0,0,Y,
20231031,0,1031-1,N,0,0.033,0.039,-0.001,-0.001,Y,
20231031,0,1031-1,N,0.06,0.035,0.035,-0.002,0,Y,
20231031,0,1031-1,N,0.2,0.037,0.039,0.002,0.003,Y,
20231031,0,1031-1,Y,0.3,0.036,0.038,0,0,Y,
20231031,0,1031-1,Y,0.4,0.034,0.035,0,0,Y,
20231031,0,1031-1,Y,0.6,0.034,0.037,0,0,Y,
20231031,0,1031-1,N,0.3,0.035,0.039,-0.001,0.001,Y,
20231031,0,1031-1,N,0.4,0.033,0.037,-0.001,0.002,Y,
20231031,0,1031-1,N,0.6,0.036,0.038,0.002,0.001,Y,
20231031,0,1031-2,Y,0,0.033,0.036,0,0,Y,
20231031,0,1031-2,Y,0.06,0.033,0.035,0,0,Y,
20231031,0,1031-2,Y,0.2,0.034,0.037,0,0,Y,
20231031,0,1031-2,N,0,0.034,0.034,0.001,-0.002,Y,
20231031,0,1031-2,N,0.06,0.036,0.036,0.003,0.001,Y,
20231031,0,1031-2,N,0.2,0.035,0.04,0.001,0.003,Y,
20231031,0,1031-2,Y,0.3,0.033,0.038,0,0,Y,
20231031,0,1031-2,Y,0.4,0.036,0.037,0,0,Y,
20231031,0,1031-2,Y,0.6,0.035,0.036,0,0,Y,
20231031,0,1031-2,N,0.3,0.033,0.038,0,0,Y,
20231031,0,1031-2,N,0.4,0.036,0.036,0,-0.001,Y,
20231031,0,1031-2,N,0.6,0.039,0.041,0.004,0.005,Y,
20231031,0,1031-3,Y,0,0.033,0.038,0,0,Y,
20231031,0,1031-3,Y,0.06,0.036,0.037,0,0,Y,
20231031,0,1031-3,Y,0.2,0.036,0.038,0,0,Y,
20231031,0,1031-3,N,0,0.035,0.038,0.002,0,Y,
20231031,0,1031-3,N,0.06,0.036,0.036,0,-0.001,Y,
20231031,0,1031-3,N,0.2,0.037,0.039,0.001,0.001,Y,
20231031,0,1031-3,Y,0.3,0.035,0.039,0,0,Y,
20231031,0,1031-3,Y,0.4,0.035,0.035,0,0,Y,
20231031,0,1031-3,Y,0.6,0.034,0.037,0,0,Y,
20231031,0,1031-3,N,0.3,0.033,0.039,-0.002,0,Y,
20231031,0,1031-3,N,0.4,0.032,0.034,-0.003,-0.001,Y,
20231031,0,1031-3,N,0.6,0.036,0.039,0.002,0.002,Y,
20231101,1,1031-1,Y,0,0.037,0.041,0,0,Y,
20231101,1,1031-1,Y,0.06,0.035,0.035,0,0,Y,
20231101,1,1031-1,Y,0.2,0.037,0.039,0,0,Y,
20231101,1,1031-1,N,0,0.037,0.041,0,0,Y,
20231101,1,1031-1,N,0.06,0.035,0.035,0,0,Y,
20231101,1,1031-1,N,0.2,0.036,0.038,-0.001,-0.001,Y,
20231101,1,1031-1,Y,0.3,0.037,0.038,0,0,Y,
20231101,1,1031-1,Y,0.4,0.035,0.035,0,0,Y,
20231101,1,1031-1,Y,0.6,0.034,0.036,0,0,Y,
20231101,1,1031-1,N,0.3,0.036,0.039,-0.001,0.001,Y,
20231101,1,1031-1,N,0.4,0.033,0.039,-0.002,0.004,Y,
20231101,1,1031-1,N,0.6,0.035,0.037,0.001,0.001,Y,
20231101,1,1031-2,Y,0,0.034,0.034,0,0,Y,
20231101,1,1031-2,Y,0.06,0.034,0.034,0,0,Y,
20231101,1,1031-2,Y,0.2,0.035,0.037,0,0,Y,
20231101,1,1031-2,N,0,0.036,0.035,0.002,0.001,Y,
20231101,1,1031-2,N,0.06,0.038,0.036,0.004,0.002,Y,
20231101,1,1031-2,N,0.2,0.039,0.042,0.004,0.005,Y,
20231101,1,1031-2,Y,0.3,0.034,0.039,0,0,Y,
20231101,1,1031-2,Y,0.4,0.036,0.038,0,0,Y,
20231101,1,1031-2,Y,0.6,0.036,0.037,0,0,Y,
20231101,1,1031-2,N,0.3,0.034,0.039,0,0,Y,
20231101,1,1031-2,N,0.4,0.036,0.036,0,-0.002,Y,
20231101,1,1031-2,N,0.6,0.039,0.041,0.003,0.004,Y,
20231101,1,1031-3,Y,0,0.036,0.039,0,0,Y,
20231101,1,1031-3,Y,0.06,0.038,0.038,0,0,Y,
20231101,1,1031-3,Y,0.2,0.037,0.038,0,0,Y,
20231101,1,1031-3,N,0,0.036,0.04,0,0.001,Y,
20231101,1,1031-3,N,0.06,0.037,0.037,-0.001,-0.001,Y,
20231101,1,1031-3,N,0.2,0.038,0.038,0.001,0,Y,
20231101,1,1031-3,Y,0.3,0.036,0.039,0,0,Y,
20231101,1,1031-3,Y,0.4,0.036,0.036,0,0,Y,
20231101,1,1031-3,Y,0.6,0.036,0.036,0,0,Y,
20231101,1,1031-3,N,0.3,0.034,0.04,-0.002,0.001,Y,
20231101,1,1031-3,N,0.4,0.039,0.04,0.003,0.004,Y,
20231101,1,1031-3,N,0.6,0.036,0.039,0,0.003,Y,
20231103,3,1031-1,Y,0,0.042,0.045,0,0,Y,
20231103,3,1031-1,Y,0.06,0.037,0.036,0,0,Y,
20231103,3,1031-1,Y,0.2,0.038,0.036,0,0,Y,
20231103,3,1031-1,N,0,0.045,0.042,0.003,-0.003,Y,
20231103,3,1031-1,N,0.06,0.047,0.041,0.01,0.005,Y,
20231103,3,1031-1,N,0.2,0.038,0.038,0,0.002,Y,
20231103,3,1031-1,Y,0.3,0.037,0.04,0,0,Y,
20231103,3,1031-1,Y,0.4,0.035,0.034,0,0,Y,
20231103,3,1031-1,Y,0.6,0.034,0.034,0,0,Y,
20231103,3,1031-1,N,0.3,0.038,0.04,0.001,0,Y,
20231103,3,1031-1,N,0.4,0.035,0.037,0,0.003,Y,
20231103,3,1031-1,N,0.6,0.035,0.034,0.001,0,Y,
20231103,3,1031-2,Y,0,0.031,0.036,0,0,Y,
20231103,3,1031-2,Y,0.06,0.033,0.035,0,0,Y,
20231103,3,1031-2,Y,0.2,0.034,0.037,0,0,Y,
20231103,3,1031-2,N,0,0.048,0.041,0.017,0.005,Y,
20231103,3,1031-2,N,0.06,0.048,0.048,0.015,0.013,Y,
20231103,3,1031-2,N,0.2,0.05,0.05,0.016,0.013,Y,
20231103,3,1031-2,Y,0.3,0.04,0.043,0,0,Y,
20231103,3,1031-2,Y,0.4,0.034,0.038,0,0,Y,
20231103,3,1031-2,Y,0.6,0.034,0.036,0,0,Y,
20231103,3,1031-2,N,0.3,0.04,0.041,0,-0.002,Y,
20231103,3,1031-2,N,0.4,0.037,0.038,0.003,0,Y,
20231103,3,1031-2,N,0.6,0.034,0.039,0,0.003,Y,
20231103,3,1031-3,Y,0,0.034,0.039,0,0,Y,
20231103,3,1031-3,Y,0.06,0.036,0.038,0,0,Y,
20231103,3,1031-3,Y,0.2,0.036,0.038,0,0,Y,
20231103,3,1031-3,N,0,0.048,0.044,0.014,0.005,Y,
20231103,3,1031-3,N,0.06,0.045,0.042,0.009,0.004,Y,
20231103,3,1031-3,N,0.2,0.042,0.038,0.006,0,Y,
20231103,3,1031-3,Y,0.3,0.036,0.039,0,0,Y,
20231103,3,1031-3,Y,0.4,0.037,0.036,0,0,Y,
20231103,3,1031-3,Y,0.6,0.035,0.034,0,0,Y,
20231103,3,1031-3,N,0.3,0.036,0.04,0,0.001,Y,
20231103,3,1031-3,N,0.4,0.038,0.035,0.001,-0.001,Y,
20231103,3,1031-3,N,0.6,0.038,0.037,0.003,0.003,Y,
20231106,6,1031-1,Y,0,0.04,0.043,0,0,Y,s
20231106,6,1031-1,Y,0.06,0.037,0.036,0,0,Y,
20231106,6,1031-1,Y,0.2,0.036,0.036,0,0,Y,
20231106,6,1031-1,N,0,0.147,0.09,0.107,0.047,Y,
20231106,6,1031-1,N,0.06,0.104,0.069,0.067,0.033,Y,
20231106,6,1031-1,N,0.2,0.116,0.076,0.08,0.04,Y,
20231106,6,1031-1,Y,0.3,0.037,0.041,0,0,Y,
20231106,6,1031-1,Y,0.4,0.036,0.037,0,0,Y,
20231106,6,1031-1,Y,0.6,0.036,0.035,0,0,Y,
20231106,6,1031-1,N,0.3,0.079,0.065,0.042,0.024,Y,
20231106,6,1031-1,N,0.4,0.052,0.047,0.016,0.01,Y,
20231106,6,1031-1,N,0.6,0.037,0.036,0.001,0.001,Y,
20231106,6,1031-2,Y,0,0.034,0.034,0,0,Y,
20231106,6,1031-2,Y,0.06,0.034,0.034,0,0,Y,
20231106,6,1031-2,Y,0.2,0.035,0.037,0,0,Y,
20231106,6,1031-2,N,0,0.176,0.104,0.142,0.07,Y,
20231106,6,1031-2,N,0.06,0.097,0.064,0.063,0.03,Y,
20231106,6,1031-2,N,0.2,0.11,0.071,0.075,0.034,Y,
20231106,6,1031-2,Y,0.3,0.038,0.041,0,0,Y,
20231106,6,1031-2,Y,0.4,0.037,0.037,0,0,Y,
20231106,6,1031-2,Y,0.6,0.035,0.036,0,0,Y,
20231106,6,1031-2,N,0.3,0.067,0.053,0.029,0.012,Y,
20231106,6,1031-2,N,0.4,0.053,0.046,0.016,0.009,Y,
20231106,6,1031-2,N,0.6,0.04,0.038,0.005,0.002,Y,
20231106,6,1031-3,Y,0,0.034,0.039,0,0,Y,
20231106,6,1031-3,Y,0.06,0.036,0.037,0,0,Y,
20231106,6,1031-3,Y,0.2,0.036,0.038,0,0,Y,
20231106,6,1031-3,N,0,0.177,0.11,0.143,0.071,Y,
20231106,6,1031-3,N,0.06,0.108,0.086,0.072,0.049,Y,
20231106,6,1031-3,N,0.2,0.117,0.077,0.081,0.039,Y,
20231106,6,1031-3,Y,0.3,0.036,0.037,0,0,Y,
20231106,6,1031-3,Y,0.4,0.037,0.036,0,0,Y,
20231106,6,1031-3,Y,0.6,0.036,0.035,0,0,Y,
20231106,6,1031-3,N,0.3,0.082,0.066,0.046,0.029,Y,
20231106,6,1031-3,N,0.4,0.062,0.052,0.025,0.016,Y,
20231106,6,1031-3,N,0.6,0.039,0.037,0.003,0.002,Y,
20231107,7,1031-1,Y,0,0.044,0.047,0,0,Y,
20231107,7,1031-1,Y,0.06,0.036,0.035,0,0,Y,
20231107,7,1031-1,Y,0.2,0.036,0.036,0,0,Y,
20231107,7,1031-1,N,0,0.172,0.117,0.128,0.07,Y,
20231107,7,1031-1,N,0.06,0.149,0.093,0.113,0.058,Y,
20231107,7,1031-1,N,0.2,0.159,0.103,0.123,0.067,Y,
20231107,7,1031-1,Y,0.3,0.037,0.039,0,0,Y,
20231107,7,1031-1,Y,0.4,0.035,0.035,0,0,Y,
20231107,7,1031-1,Y,0.6,0.034,0.035,0,0,Y,
20231107,7,1031-1,N,0.3,0.098,0.069,0.061,0.03,Y,
20231107,7,1031-1,N,0.4,0.073,0.055,0.038,0.02,Y,
20231107,7,1031-1,N,0.6,0.037,0.035,0.003,0,Y,
20231107,7,1031-2,Y,0,0.034,0.035,0,0,Y,
20231107,7,1031-2,Y,0.06,0.034,0.036,0,0,Y,
20231107,7,1031-2,Y,0.2,0.034,0.038,0,0,Y,
20231107,7,1031-2,N,0,0.218,0.146,0.184,0.111,Y,
20231107,7,1031-2,N,0.06,0.162,0.11,0.128,0.074,Y,
20231107,7,1031-2,N,0.2,0.173,0.118,0.139,0.08,Y,
20231107,7,1031-2,Y,0.3,0.034,0.038,0,0,Y,
20231107,7,1031-2,Y,0.4,0.037,0.037,0,0,Y,
20231107,7,1031-2,Y,0.6,0.035,0.037,0,0,Y,
20231107,7,1031-2,N,0.3,0.11,0.075,0.076,0.037,Y,
20231107,7,1031-2,N,0.4,0.073,0.052,0.036,0.015,Y,
20231107,7,1031-2,N,0.6,0.039,0.038,0.004,0.001,Y,
20231107,7,1031-3,Y,0,0.036,0.039,0,0,Y,
20231107,7,1031-3,Y,0.06,0.036,0.039,0,0,Y,
20231107,7,1031-3,Y,0.2,0.036,0.037,0,0,Y,
20231107,7,1031-3,N,0,0.225,0.152,0.189,0.113,Y,
20231107,7,1031-3,N,0.06,0.157,0.103,0.121,0.064,Y,
20231107,7,1031-3,N,0.2,0.158,0.117,0.122,0.08,Y,
20231107,7,1031-3,Y,0.3,0.036,0.038,0,0,Y,
20231107,7,1031-3,Y,0.4,0.037,0.036,0,0,Y,
20231107,7,1031-3,Y,0.6,0.036,0.035,0,0,Y,
20231107,7,1031-3,N,0.3,0.117,0.076,0.081,0.038,Y,
20231107,7,1031-3,N,0.4,0.081,0.057,0.044,0.021,Y,
20231107,7,1031-3,N,0.6,0.041,0.04,0.005,0.005,Y,